@T,table
Created,2022-07-31 15:02
Author,HortonMachine library
@H,timestamp,value_1
ID,,1
Type,Date,Double
Format,yyyy-MM-dd HH:mm,
,2013-12-15 11:00,0.0
,2013-12-15 12:00,27.43247379799039
,2013-12-15 13:00,21.388545953398214
,2013-12-15 14:00,12.375403962988244
,2013-12-15 15:00,3.6946168223975704
,2013-12-15 16:00,0.0
,2013-12-15 17:00,0.0
,2013-12-15 18:00,0.0
,2013-12-15 19:00,0.0
,2013-12-15 20:00,0.0
,2013-12-15 21:00,0.0
,2013-12-15 22:00,0.0
,2013-12-15 23:00,0.0
,2013-12-16 00:00,0.0
,2013-12-16 01:00,0.0
,2013-12-16 02:00,0.0
,2013-12-16 03:00,0.0
,2013-12-16 04:00,0.0
,2013-12-16 05:00,0.0
,2013-12-16 06:00,0.0
,2013-12-16 07:00,0.0
,2013-12-16 08:00,0.0
,2013-12-16 09:00,21.026701339749508
,2013-12-16 10:00,26.882478303047247
,2013-12-16 11:00,29.266061921506143
,2013-12-16 12:00,27.556909498211052
,2013-12-16 13:00,21.294586812148445
,2013-12-16 14:00,12.233753816201773
,2013-12-16 15:00,3.569211207261842
,2013-12-16 16:00,0.0
,2013-12-16 17:00,0.0
,2013-12-16 18:00,0.0
,2013-12-16 19:00,0.0
,2013-12-16 20:00,0.0
,2013-12-16 21:00,0.0
,2013-12-16 22:00,0.0
,2013-12-16 23:00,0.0
,2013-12-17 00:00,0.0
,2013-12-17 01:00,0.0
,2013-12-17 02:00,0.0
,2013-12-17 03:00,0.0
,2013-12-17 04:00,0.0
,2013-12-17 05:00,0.0
,2013-12-17 06:00,0.0
,2013-12-17 07:00,0.0
,2013-12-17 08:00,0.0
,2013-12-17 09:00,23.602113504486756
,2013-12-17 10:00,30.14104614775898
,2013-12-17 11:00,31.867721317424724
,2013-12-17 12:00,28.29615346220499
,2013-12-17 13:00,22.161329204595226
,2013-12-17 14:00,12.993774041600812
,2013-12-17 15:00,3.822780295184608
,2013-12-17 16:00,0.0
,2013-12-17 17:00,0.0
,2013-12-17 18:00,0.0
,2013-12-17 19:00,0.0
,2013-12-17 20:00,0.0
,2013-12-17 21:00,0.0
,2013-12-17 22:00,0.0
,2013-12-17 23:00,0.0
,2013-12-18 00:00,0.0
,2013-12-18 01:00,0.0
,2013-12-18 02:00,0.0
,2013-12-18 03:00,0.0
,2013-12-18 04:00,0.0
,2013-12-18 05:00,0.0
,2013-12-18 06:00,0.0
,2013-12-18 07:00,0.0
,2013-12-18 08:00,0.0
,2013-12-18 09:00,22.343434103691123
,2013-12-18 10:00,31.38062412037795
,2013-12-18 11:00,32.8334904365591
,2013-12-18 12:00,29.664034234208014
,2013-12-18 13:00,23.445747662372337
,2013-12-18 14:00,13.758082798926464
,2013-12-18 15:00,4.0541500224477325
,2013-12-18 16:00,0.0
,2013-12-18 17:00,0.0
,2013-12-18 18:00,0.0
,2013-12-18 19:00,0.0
,2013-12-18 20:00,0.0
,2013-12-18 21:00,0.0
,2013-12-18 22:00,0.0
,2013-12-18 23:00,0.0
,2013-12-19 00:00,0.0
,2013-12-19 01:00,0.0
,2013-12-19 02:00,0.0
,2013-12-19 03:00,0.0
,2013-12-19 04:00,0.0
,2013-12-19 05:00,0.0
,2013-12-19 06:00,0.0
,2013-12-19 07:00,0.0
,2013-12-19 08:00,0.0
,2013-12-19 09:00,18.945490681583436
,2013-12-19 10:00,27.909530962515962
,2013-12-19 11:00,30.944873455364345
,2013-12-19 12:00,27.106228002344977
,2013-12-19 13:00,21.86653150539585
,2013-12-19 14:00,13.135133744611718
,2013-12-19 15:00,3.876058842839283
,2013-12-19 16:00,0.0
,2013-12-19 17:00,0.0
,2013-12-19 18:00,0.0
,2013-12-19 19:00,0.0
,2013-12-19 20:00,0.0
,2013-12-19 21:00,0.0
,2013-12-19 22:00,0.0
,2013-12-19 23:00,0.0
,2013-12-20 00:00,0.0
,2013-12-20 01:00,0.0
,2013-12-20 02:00,0.0
,2013-12-20 03:00,0.0
,2013-12-20 04:00,0.0
,2013-12-20 05:00,0.0
,2013-12-20 06:00,0.0
,2013-12-20 07:00,0.0
,2013-12-20 08:00,0.0
,2013-12-20 09:00,20.735342874788582
,2013-12-20 10:00,29.424063588977415
,2013-12-20 11:00,32.25633711567435
,2013-12-20 12:00,29.24990930737175
,2013-12-20 13:00,23.028428612910886
,2013-12-20 14:00,13.569631737928901
,2013-12-20 15:00,3.9556675704359234
,2013-12-20 16:00,0.0
,2013-12-20 17:00,0.0
,2013-12-20 18:00,0.0
,2013-12-20 19:00,0.0
,2013-12-20 20:00,0.0
,2013-12-20 21:00,0.0
,2013-12-20 22:00,0.0
,2013-12-20 23:00,0.0
,2013-12-21 00:00,0.0
,2013-12-21 01:00,0.0
,2013-12-21 02:00,0.0
,2013-12-21 03:00,0.0
,2013-12-21 04:00,0.0
,2013-12-21 05:00,0.0
,2013-12-21 06:00,0.0
,2013-12-21 07:00,0.0
,2013-12-21 08:00,0.0
,2013-12-21 09:00,20.657996836545635
,2013-12-21 10:00,28.152327966366734
,2013-12-21 11:00,31.065905827626747
,2013-12-21 12:00,27.49965013493433
,2013-12-21 13:00,21.9251056763086
,2013-12-21 14:00,12.566870668422608
,2013-12-21 15:00,3.7837448171968244
,2013-12-21 16:00,0.0
,2013-12-21 17:00,0.0
,2013-12-21 18:00,0.0
,2013-12-21 19:00,0.0
,2013-12-21 20:00,0.0
,2013-12-21 21:00,0.0
,2013-12-21 22:00,0.0
,2013-12-21 23:00,0.0
,2013-12-22 00:00,0.0
,2013-12-22 01:00,0.0
,2013-12-22 02:00,0.0
,2013-12-22 03:00,0.0
,2013-12-22 04:00,0.0
,2013-12-22 05:00,0.0
,2013-12-22 06:00,0.0
,2013-12-22 07:00,0.0
,2013-12-22 08:00,0.0
,2013-12-22 09:00,21.449786134012676
,2013-12-22 10:00,29.968997095144715
,2013-12-22 11:00,32.06254668545783
,2013-12-22 12:00,28.59662289722173
,2013-12-22 13:00,22.013457130338235
,2013-12-22 14:00,12.438246782539114
,2013-12-22 15:00,3.557064851125733
,2013-12-22 16:00,0.0
,2013-12-22 17:00,0.0
,2013-12-22 18:00,0.0
